id,track,journey,difficulty,resolution_status,act_consensus,diag_consensus,fabrication,act_owl,act_raven,diag_owl,diag_raven,standalone_fix,has_imperative,case_specific,is_template,correct_subsystem,names_mechanism,causal_chain,consistent_with_resolution,case_specific_diagnosis,fabrication_owl,fabrication_raven,fabrication_detail
J1-1,1,J1: First Compile,beginner,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J1-10,1,J1: First Compile,intermediate,resolved,2,2,False,2,1,2,2,False,True,True,False,True,True,False,True,False,False,,n/a
J1-11,1,J1: First Compile,intermediate,unresolved,2,3,True,2,2,3,3,False,True,True,False,True,True,False,True,True,True,,dynamo_config: torch._dynamo.config.log_recompilation
J1-12,1,J1: First Compile,intermediate,unresolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J1-13,1,J1: First Compile,intermediate,unresolved,2,3,False,2,1,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J1-14,1,J1: First Compile,intermediate,unresolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J1-15,1,J1: First Compile,intermediate,unresolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J1-16,1,J1: First Compile,intermediate,unresolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J1-17,1,J1: First Compile,beginner,unresolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J1-18,1,J1: First Compile,intermediate,unresolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J1-19,1,J1: First Compile,beginner,unresolved,3,3,True,3,3,3,3,True,True,True,False,True,True,True,True,False,True,,cpp_subconfig: torch._inductor.config.cpp.extra_ldflags
J1-2,1,J1: First Compile,beginner,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J1-20,1,J1: First Compile,intermediate,unresolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J1-3,1,J1: First Compile,intermediate,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J1-4,1,J1: First Compile,beginner,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J1-5,1,J1: First Compile,beginner,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
